AT,V,AP,RH,PE,cooks_distance
24.75,58.79,1009.87,71.97,444.79,1.0741570713334342e-07
29.89,65.74,1012.95,51.36,438.24,2.2215944073822293e-08
17.48,43.14,1018.68,74.85,459.59,9.119749538549041e-06
27.31,59.54,1006.24,71.99,440.13,1.917605987579118e-07
8.52,38.5,1013.16,64.06,482.96,0.00011446310421827753
21.67,57.76,1018.32,68.21,452.56,8.237102636298453e-09
17.68,39.08,1002.77,74.24,454.18,3.078425630374907e-05
23.4,49.16,1002.85,69.82,446.05,4.4166154841128e-06
14.6,42.32,1015.71,77.03,464.67,6.924138163146946e-07
27.75,77.24,1007.48,78.37,433.57,1.9349371949732302e-07
23.37,65.46,1016.25,48.64,447.07,6.717354774638423e-08
13.86,40.83,1008.76,82.4,470.37,2.6845914760827648e-05
25.42,69.71,1009.29,82.5,435.59,1.2556805572087425e-05
20.17,58.12,1015.41,79.47,455.25,1.9679103955619542e-06
31.66,73.91,1004.49,68.13,431.26,4.817523170384542e-06
15.8,41.1,1003.0,77.36,465.87,5.086145346710185e-05
7.68,42.85,1012.51,91.51,479.16,4.975261822380141e-05
11.6,39.1,1009.81,100.09,460.7,6.704413924631804e-05
11.29,41.5,1013.39,89.15,476.04,3.250321015695523e-05
9.19,41.01,1022.14,98.98,468.37,5.293394208282361e-05
24.03,62.44,1010.96,79.88,430.66,9.274035830873453e-05
22.86,60.08,1017.2,67.11,452.34,2.733390481414556e-06
17.3,46.21,1013.56,87.57,456.77,6.511497133613866e-06
12.29,40.71,1019.71,83.09,469.75,6.863052879797847e-07
22.78,71.77,1005.26,89.23,435.46,2.694739328138134e-05
29.2,64.84,1009.94,55.37,441.9,1.0544157852639206e-05
20.61,48.78,1020.8,85.05,449.38,8.279948938393431e-05
28.01,65.34,1014.68,46.86,440.77,9.617465004131038e-08
28.98,70.8,1008.19,73.45,434.08,4.1125406579936364e-07
23.71,60.23,1009.76,90.67,439.66,2.9422251087732668e-05
12.88,40.64,1020.76,92.58,474.58,1.4670046060228606e-05
5.54,45.87,1008.69,95.91,478.02,7.339376094213006e-05
14.49,44.84,1024.09,86.55,465.72,7.431067886652874e-06
13.19,39.18,1023.67,66.78,469.62,6.94140858160745e-06
19.9,56.53,1020.52,78.05,456.48,1.437468914333304e-07
24.43,61.25,1011.66,85.24,436.05,5.306819390992436e-05
8.91,43.52,1022.78,98.0,478.38,1.8096908329992183e-05
23.43,54.42,1013.58,70.99,454.86,7.660380972990557e-06
19.69,56.65,1020.72,70.86,456.18,1.4301486935983114e-08
14.22,42.32,1015.54,77.23,465.0,7.169067194338937e-07
12.35,40.8,1027.35,72.69,476.88,1.204555033799206e-05
21.36,52.3,1007.95,79.38,448.13,4.145561515639881e-06
22.78,58.96,1013.65,57.06,452.03,4.2517193525296965e-06
8.39,52.72,1026.06,86.76,473.45,1.0900702812533971e-06
28.13,61.25,1013.12,62.57,436.61,1.6217357975771575e-05
27.39,69.14,1008.82,78.35,435.22,3.725624963920465e-06
31.75,74.99,1003.25,53.33,430.82,9.258038586688774e-06
24.49,68.61,1010.56,64.03,447.57,1.842396955455283e-05
8.47,41.26,1020.57,91.28,477.14,3.562026726055486e-06
28.15,72.24,1010.88,62.39,431.75,1.4339439870083704e-05
14.79,41.04,1025.32,75.81,456.97,0.00020076865456478634
15.2,40.55,1005.0,88.4,465.09,1.5938792292916203e-05
25.12,66.56,1009.22,65.62,436.56,1.1186759343429907e-05
20.38,62.52,1017.85,75.56,456.56,1.2558510375637266e-05
21.02,61.5,1008.52,77.74,448.08,5.635405763422507e-08
11.25,40.67,1011.64,63.54,480.49,0.00014109975307612219
21.75,49.82,1015.01,78.33,455.28,2.573497992164974e-07
23.61,49.16,1002.39,65.63,443.5,2.1008161743236713e-05
25.13,68.63,1013.57,43.44,446.36,1.9351656238880018e-05
32.29,64.96,1002.13,42.61,430.58,1.0097539286730183e-06
23.48,60.23,1011.91,79.48,437.44,3.610236283067579e-05
16.63,39.16,1005.85,72.02,460.29,6.092764352561701e-07
32.38,77.24,1007.7,61.15,430.96,7.5429422116837954e-06
8.85,40.43,1025.68,80.42,491.81,0.0002489106265469631
21.29,59.04,1012.49,84.23,445.37,9.71200356924503e-06
28.5,74.87,1009.67,53.78,444.88,0.0001060651961677149
9.37,42.32,1015.15,82.96,477.57,2.3552070045716536e-05
21.42,56.89,1014.39,84.05,444.86,2.0876056675077894e-05
28.62,79.74,1008.12,65.39,436.12,2.3555408359781144e-05
33.6,77.17,1009.01,47.53,430.32,1.0086814408736023e-05
15.85,42.28,1007.4,82.12,467.3,3.1336748415245724e-05
18.27,50.16,1011.07,95.91,451.76,1.8495719854986307e-05
14.96,43.02,1012.77,42.93,467.16,1.4911571656746447e-05
21.96,71.85,1009.38,75.98,441.52,1.0981120658659692e-06
25.95,63.47,1011.77,66.22,445.5,2.8532249100182523e-06
23.5,59.21,1018.29,63.0,443.31,2.7367728699126658e-05
30.38,71.58,1010.17,50.45,433.75,2.7309709967520632e-08
28.01,64.69,1007.61,58.45,440.23,2.1815463048983297e-06
12.3,40.69,1015.74,82.58,474.46,1.4123310444493461e-05
21.42,43.79,1015.76,43.08,462.19,2.641966637695232e-05
21.34,59.8,1016.92,77.06,450.74,3.0194483422323604e-07
15.84,41.66,1009.69,62.81,465.5,7.938005490885305e-06
16.73,54.3,1017.96,59.44,460.54,6.604197557306483e-07
23.25,71.29,1008.05,71.36,442.21,1.2097767644652526e-06
26.52,73.21,1002.3,95.38,437.02,1.7424347395682e-05
27.43,63.87,1017.6,43.33,442.71,9.842797423306171e-07
16.41,44.92,1024.27,84.16,462.12,1.949407676417724e-05
29.67,73.67,1006.48,64.98,429.28,6.973369069076397e-06
23.19,45.61,1013.18,73.46,454.62,2.619570133754277e-07
28.34,73.68,1015.05,76.73,432.0,2.761851045458805e-05
12.48,40.67,1011.24,61.1,475.96,7.918179306936792e-05
29.97,67.9,1006.09,61.6,434.14,1.3488579002804523e-09
22.8,49.16,1006.4,77.05,439.65,8.199789101830766e-05
24.42,66.56,1002.04,84.7,434.18,2.9116179032293385e-05
23.89,48.41,1010.48,62.31,441.83,5.51602138732609e-05
26.31,66.48,1005.93,63.9,432.89,2.2176171766352107e-05
25.69,64.45,1013.05,42.0,450.94,6.760427625966793e-05
10.13,39.18,1024.09,85.48,479.42,1.4457595090345625e-05
17.83,66.86,1011.65,77.31,456.56,3.0956367467576665e-05
12.64,41.26,1020.79,83.66,465.78,1.583300220912211e-05
11.86,40.27,1008.06,72.91,474.57,6.330539265905572e-05
6.05,41.14,1027.69,86.93,481.02,6.663165533572036e-08
28.54,76.86,1000.09,74.67,433.35,2.3996876008910263e-05
19.89,68.08,1012.65,80.25,448.71,5.032686998497725e-07
10.05,40.23,1019.71,90.41,475.48,3.1431497171224478e-06
21.47,57.19,1006.45,75.8,448.31,4.436500708675605e-09
11.15,40.64,1020.65,97.95,477.79,3.079242559489249e-05
18.3,37.2,1012.23,68.09,470.42,5.311039833525928e-05
28.76,69.48,1008.62,55.86,430.14,2.4413705022395534e-05
25.44,75.23,1010.71,66.44,436.67,1.4578447426369736e-06
19.61,56.53,1019.69,77.13,454.22,1.811107884381155e-06
17.46,42.42,1008.97,69.19,469.63,6.547028068524299e-05
6.07,41.14,1027.57,86.98,480.19,4.881655616783858e-07
28.75,64.84,1009.61,58.24,441.3,5.426942802434016e-06
11.33,41.5,1013.58,88.7,475.01,2.28873043738488e-05
28.19,62.6,1017.34,46.95,449.61,4.9010698225837506e-05
7.93,41.01,1023.64,97.23,476.37,5.893296374934521e-07
20.24,56.65,1020.72,62.9,455.49,5.768411819119332e-08
23.09,51.19,1009.4,81.61,443.22,2.8723581456658703e-05
8.99,36.66,1028.11,71.98,481.03,2.706524253833887e-06
14.11,45.08,1023.27,83.22,464.7,1.173107571834829e-05
26.52,65.06,1013.4,51.78,439.66,5.130987489886987e-06
19.35,64.15,1021.37,68.53,457.74,1.5234210200352413e-05
28.55,72.43,1007.2,65.82,430.06,1.2860171743647233e-05
30.2,69.59,1008.9,67.32,434.66,7.436759468629126e-08
17.29,44.63,1019.6,41.98,460.66,1.6967382760291448e-05
7.38,41.22,1016.47,96.29,485.73,0.00011872756714611678
25.53,71.85,1009.19,74.7,431.26,3.770135944724399e-05
10.27,40.64,1020.63,84.6,474.99,1.6732373325733935e-06
20.12,56.53,1020.34,75.59,454.54,8.673098553471395e-07
22.28,60.27,1018.98,84.12,443.44,4.893073322511836e-05
21.29,51.43,1011.31,90.12,452.94,2.156540660244985e-08
26.87,69.23,1012.71,54.54,433.89,2.6293944531599612e-05
13.99,36.71,1013.43,83.13,473.2,1.8720649741997032e-05
15.89,38.73,1001.45,74.37,465.76,5.7127858922530726e-05
10.45,40.71,1015.68,81.48,469.22,2.238972222295044e-06
26.26,74.9,1003.85,81.94,437.44,1.2568187490942094e-05
9.05,40.67,1015.57,75.48,486.55,0.00013609196620168574
25.66,71.77,1006.76,84.76,429.25,6.741320083875615e-05
31.91,67.83,1008.76,53.22,425.28,5.6120359361855463e-05
25.07,77.95,1012.87,83.0,438.55,3.827985952693539e-07
25.74,65.38,1009.6,54.34,452.94,8.780071871844449e-05
14.94,40.0,1017.69,65.43,456.41,8.170029659350463e-05
19.32,52.84,1004.29,83.51,450.88,3.464625299504525e-07
26.42,59.27,1012.9,65.38,443.94,1.7406525238703294e-07
23.25,63.86,1017.82,59.64,445.12,6.680859454697715e-06
13.77,42.86,1030.72,77.3,471.38,4.134341259529643e-06
14.24,44.84,1023.6,94.06,466.67,3.738244217628088e-06
14.74,44.47,1028.29,67.87,462.92,8.166375546806497e-05
14.35,35.71,1016.1,60.86,468.9,1.6265166754302584e-07
9.31,43.56,1015.09,79.96,482.55,8.688546489851246e-05
11.82,41.54,1019.96,67.65,476.97,2.453087014368981e-05
20.16,60.1,1011.24,86.23,453.36,4.658924634816799e-06
10.52,41.78,1013.54,71.52,474.58,1.605760410181357e-05
16.46,61.27,1020.02,74.54,456.64,8.143263016363621e-07
20.47,63.07,1012.79,88.67,451.71,3.714658599109914e-06
27.12,70.32,1009.94,52.67,429.08,6.529837429280129e-05
13.41,45.0,1022.31,76.29,475.9,3.4812085804192715e-05
8.6,42.28,1008.58,80.15,484.21,0.00024844202811886046
30.74,71.77,1006.24,53.38,434.89,9.062489458541379e-06
26.5,66.05,1017.03,61.34,440.15,7.413727018647947e-06
26.67,70.94,1007.7,56.56,439.13,2.8491000617939245e-06
22.74,61.02,1009.56,79.41,445.56,3.222468828304098e-07
18.85,48.06,1012.52,67.88,451.77,1.2004624883931303e-05
19.87,49.69,1012.23,68.57,456.03,5.996539336424156e-08
21.19,50.16,1005.81,84.27,450.33,6.027812646202872e-07
13.44,39.64,1013.23,73.43,474.79,3.172200005864068e-05
14.2,40.92,1022.26,71.71,460.42,6.863384041820788e-05
22.59,60.32,1016.84,78.58,447.17,3.921316653657745e-06
26.53,65.18,1012.77,64.37,437.39,9.476808347255503e-06
24.8,64.63,1020.69,55.74,447.82,2.363143361569806e-07
26.21,70.32,1007.0,78.29,430.4,3.91623607772286e-05
14.58,41.92,1030.42,61.96,462.69,0.00019600983624075037
14.37,40.56,1021.67,68.18,470.19,4.167745664882875e-07
6.03,40.78,1025.53,98.68,480.36,1.8082962166083228e-07
11.99,49.83,1008.33,95.2,468.22,3.471399044972755e-05
21.28,70.32,1011.55,88.05,438.7,3.7904353332036076e-05
20.54,59.39,1014.07,84.15,445.41,1.6225562511561556e-05
13.65,41.58,1020.56,72.17,460.8,4.662790322271182e-05
23.82,48.92,1010.48,44.45,446.85,2.1894792636897965e-05
15.15,37.64,1014.37,89.82,463.98,6.044860648146597e-06
7.89,39.37,1016.28,84.66,483.82,6.0406625434982474e-05
26.54,69.34,1009.5,87.18,435.51,9.231995982706011e-06
22.56,70.98,1005.66,95.95,440.81,1.8697376830960278e-08
23.02,63.47,1012.21,80.61,443.66,2.9333459324548877e-06
14.05,40.71,1016.36,68.58,465.74,1.886832610399054e-06
25.06,74.33,1014.05,69.02,437.27,7.151258285102111e-06
25.44,61.25,1012.57,87.65,441.77,6.177927970247116e-06
12.82,46.18,1018.53,88.46,466.06,1.0143724124820463e-06
6.31,42.07,1004.61,77.74,483.27,0.0003421082549072476
22.64,72.24,1011.07,98.55,434.36,0.00010027244669527904
10.17,41.46,1019.34,83.04,480.13,3.479497306134574e-05
31.33,76.86,997.85,64.43,431.44,6.279449911596685e-05
18.74,44.34,1019.4,55.16,468.84,4.247218484799777e-05
26.71,59.39,1014.24,66.45,439.33,1.4954042039827023e-05
9.99,41.82,1033.14,68.36,475.75,1.926469366312477e-05
22.08,45.61,1014.02,75.71,456.71,7.994001205302072e-07
32.37,67.83,1008.32,57.39,426.76,2.8318520192273194e-05
15.22,50.88,1014.19,100.12,460.44,1.5976540602848915e-07
23.39,73.5,1011.37,88.48,441.18,5.8086008950090216e-09
18.24,58.46,1017.38,86.92,449.63,2.2949684989867653e-05
23.66,62.08,1022.42,64.13,447.06,1.195772855905862e-05
18.63,45.87,1007.98,79.9,453.79,5.6061044327738175e-06
15.09,39.52,1017.05,72.43,469.8,3.840449321217613e-06
26.39,66.49,1012.96,60.35,433.36,3.657664283311499e-05
18.56,42.28,1007.75,60.89,462.05,1.3418418202337637e-05
23.35,59.92,1009.86,88.6,439.82,2.8983808973135818e-05
32.98,73.88,1006.31,47.55,440.28,0.00016982820576361292
20.86,67.25,1017.45,81.45,444.5,1.8102444582507758e-05
25.68,58.41,1013.71,70.61,440.78,1.2213463781689105e-05
28.85,66.54,1010.73,43.27,437.79,6.721542397392692e-08
15.24,37.87,1020.52,84.49,463.09,3.181710704030593e-05
18.39,52.08,1006.53,100.09,449.96,1.7386190093900127e-05
10.1,44.03,1008.11,90.29,471.59,2.2880999680608138e-05
30.24,73.9,1006.74,56.39,441.31,8.545093628988704e-05
22.12,49.39,1019.8,72.83,451.0,2.11491350706676e-05
17.14,58.16,1018.59,77.22,458.61,5.438200559188396e-07
8.36,40.22,1011.6,89.18,484.66,0.00014967724838445658
32.82,68.31,1010.44,41.85,441.06,9.156815702639728e-05
34.61,73.03,1013.61,36.91,438.56,0.00013029746807623506
6.93,38.68,1017.61,61.28,482.37,4.230911591814253e-05
27.41,63.07,1011.5,55.3,445.02,8.18602900148522e-06
9.83,41.17,1019.34,72.29,478.21,1.7737407753717126e-05
29.92,67.22,1014.09,50.62,444.78,4.4670852042991335e-05
13.72,34.03,1018.57,65.95,469.25,5.790385714770101e-06
10.62,39.96,1025.37,96.64,470.8,2.8622751754847864e-05
30.63,74.22,1007.47,46.52,430.38,1.3499000789269324e-06
29.98,47.93,1002.46,42.73,438.79,1.4975555755707437e-05
11.23,43.7,1016.0,91.75,476.04,3.066909646429173e-05
26.11,47.43,1009.01,56.09,445.36,9.790973717080957e-06
19.39,68.61,1011.09,96.51,446.47,1.27298217054338e-06
22.56,62.26,1012.11,63.16,445.33,1.4933079398406385e-06
19.27,43.14,1013.17,39.85,463.14,2.186384049182736e-05
18.86,51.43,1010.27,86.0,446.91,3.1618366181534396e-05
33.43,69.88,1006.86,44.84,435.59,4.1019380538645816e-05
13.84,41.26,1020.92,74.74,462.46,3.143927093218063e-05
11.12,41.54,1020.13,75.07,477.69,2.0869220240900674e-05
22.42,60.08,1017.71,67.46,452.31,1.4000081321373883e-06
10.12,41.55,1005.78,62.34,475.46,0.00012615384857360987
23.46,73.18,1012.07,88.14,438.62,9.202157130636012e-06
25.72,49.82,1016.19,60.1,452.33,2.179045097730297e-06
29.59,71.77,1006.33,62.35,426.62,3.205608950235138e-05
7.28,38.56,1018.96,67.98,485.57,7.785572434291016e-05
7.0,38.08,1020.27,77.67,482.38,1.682335844400334e-05
15.29,38.73,1000.9,81.17,468.62,0.00012515603837293126
19.3,56.65,1020.55,70.43,459.1,3.5804025886283952e-06
17.74,50.88,1015.56,89.78,457.71,5.229546242783332e-07
20.01,68.63,1012.34,69.49,454.5,3.618124280526458e-05
14.38,40.66,1016.34,92.37,463.1,1.167101232156023e-05
28.79,68.51,1013.02,62.84,432.51,1.9892517173893736e-05
9.2,40.77,1011.88,89.86,479.82,6.715404609048729e-05
22.05,59.92,1009.06,93.74,437.9,7.948984902678242e-05
12.88,44.34,1016.03,88.51,474.94,3.244632361413342e-05
22.49,58.82,1009.73,85.19,444.11,6.780489330821961e-06
16.84,56.03,1020.25,70.37,437.14,0.0003080683876496498
20.57,60.1,1011.16,83.45,451.88,1.7695974131309856e-06
13.1,49.83,1007.29,92.79,466.08,2.758175846402738e-05
24.34,70.79,1006.82,85.66,433.83,3.011804093065229e-05
18.84,67.32,1012.63,81.89,449.21,1.4176790241818512e-08
31.13,64.05,1011.51,61.27,439.24,4.759501771466695e-06
10.87,37.5,1011.43,95.56,474.07,1.4782456215184527e-05
16.13,39.99,1007.04,80.49,465.25,1.2326032687859201e-05
14.56,40.89,1010.94,79.57,467.53,5.006787734693467e-06
17.4,44.9,1020.5,77.11,457.75,2.2657082970995336e-05
16.74,41.16,1006.87,74.24,463.0,5.904305715182992e-06
10.63,37.5,1008.93,98.14,474.81,3.7068065790888035e-05
21.87,66.86,1013.01,57.39,453.62,3.7723530416309464e-05
12.36,41.74,1020.58,69.24,477.16,2.8984448127784713e-05
11.54,45.0,1022.77,80.79,482.34,9.967810487658558e-05
25.16,43.21,1011.73,88.69,442.29,0.00015276224822661518
27.43,56.85,1011.86,36.76,436.64,8.85136574021615e-05
6.61,38.91,1015.77,92.31,484.32,6.203359346674825e-05
26.2,63.56,1013.39,67.07,442.4,2.682165110009485e-07
27.5,68.24,1010.38,73.44,430.9,3.272589532103892e-05
17.46,39.99,1008.52,69.73,461.01,2.0240612413861616e-08
12.14,40.27,1007.57,73.22,472.84,4.641916133746579e-05
15.86,49.69,1015.59,87.26,462.84,1.0219227270326754e-06
9.98,41.62,1013.56,95.77,463.16,4.449843881316564e-05
25.42,73.21,1001.91,93.78,432.04,1.6565459757479065e-05
11.11,40.55,1023.91,87.12,476.37,6.179077443420957e-06
26.09,60.23,1010.74,60.88,445.88,2.2215274038800874e-06
29.33,64.84,1010.76,53.32,443.15,1.8223680475992992e-05
13.85,41.39,1018.62,75.55,471.45,4.827589019185428e-06
30.66,66.25,1007.67,63.03,439.55,1.6243956767821884e-05
21.7,70.32,1009.12,91.3,438.52,2.69648217408785e-05
23.49,49.3,1003.35,77.96,442.76,3.0455374080931754e-05
15.0,41.17,1015.57,64.82,468.72,4.477020628103187e-06
22.29,45.01,1012.4,51.58,449.08,3.6835815149669555e-05
27.84,72.39,1001.18,83.46,432.19,1.1900032000907584e-07
21.65,56.89,1013.13,66.07,445.93,7.381651455836904e-06
20.08,49.69,1008.34,69.88,453.54,2.3311585283920455e-08
27.19,71.58,1010.85,76.1,436.77,4.594857315388055e-07
29.47,65.51,1014.71,58.28,444.8,2.325856140010715e-05
26.02,71.94,1009.38,64.12,435.21,6.035737125272423e-06
26.19,73.77,1001.31,91.87,433.34,2.6607564215562677e-07
18.39,38.52,1019.66,66.93,453.89,0.00011741216558385489
22.55,69.84,1006.57,76.29,438.54,8.210942552312126e-06
27.96,73.42,1011.11,71.93,435.93,1.5006732056862302e-08
5.96,36.25,1029.4,88.63,488.2,3.7642917767527966e-05
23.03,54.42,1014.42,74.98,453.77,3.016576066167553e-06
29.38,74.9,1003.25,72.19,433.74,1.0550047674907e-05
22.57,68.3,1017.43,87.69,440.81,3.871368948709363e-05
28.33,78.92,1011.15,70.04,432.67,4.963676944443256e-07
10.58,41.49,1020.43,91.9,473.19,2.699453026494982e-07
23.85,74.22,1009.99,82.72,441.66,3.651420965120735e-06
25.0,59.43,1007.84,68.91,438.28,1.4172094612428116e-05
26.92,51.43,1012.29,59.33,437.35,7.504182323853282e-05
9.6,41.03,1021.01,69.03,481.73,4.910597948520138e-05
23.92,73.17,1011.81,92.33,433.78,6.556037038374177e-05
8.34,40.72,1023.62,83.75,483.14,3.9846290396696427e-05
13.42,42.86,1013.88,85.13,473.27,2.409280736282295e-05
10.59,42.49,1009.59,77.36,477.49,8.226473077073694e-05
16.36,43.99,1021.34,85.13,465.81,5.2501061693153224e-08
23.28,48.92,1010.23,41.55,449.27,7.266762698953885e-06
31.82,71.29,1008.44,41.7,431.23,4.1779556378658814e-07
24.39,60.84,1018.5,61.73,442.72,2.2658514852699115e-05
9.28,41.38,1021.96,72.22,486.18,0.00011398370784766371
20.19,44.57,1009.2,72.13,454.36,1.97177580966952e-06
19.8,67.71,1005.58,69.65,446.03,5.604236278575153e-07
20.73,59.87,1019.08,80.48,445.18,4.1288460324991085e-05
28.45,52.84,1006.18,43.16,439.86,1.033165316164367e-05
31.04,66.54,1003.83,53.05,431.66,1.1663306175192388e-06
10.09,41.01,1019.89,96.55,471.15,3.6312499350304657e-06
17.33,42.28,1007.97,50.33,462.26,8.147837668135902e-06
12.14,44.85,1014.36,60.04,476.68,8.249699886439132e-05
17.97,65.94,1012.92,88.22,448.88,3.839177979808806e-06
21.12,49.15,1021.29,52.9,456.92,2.072799470358357e-06
19.18,50.12,1005.99,100.09,444.56,0.00010689857084337975
23.79,58.2,1016.77,55.88,446.88,4.753169031368122e-06
15.36,41.66,1012.41,62.32,466.7,4.853681197033118e-06
18.56,42.18,1001.46,99.59,456.61,2.2449572678113498e-06
10.34,37.5,1010.35,95.56,474.08,1.4932554823850574e-05
10.95,40.22,1010.04,78.96,477.23,6.232884787004329e-05
26.45,75.6,1017.42,74.5,436.89,7.851997677788086e-06
15.31,40.66,1016.46,84.64,458.26,3.552278406763102e-05
11.83,45.09,1013.11,88.52,470.32,7.625671350697447e-06
27.44,66.56,1005.51,69.28,428.0,5.637025262954303e-05
27.15,59.21,1013.49,51.71,440.27,1.1134088211112487e-05
17.3,62.1,1020.28,88.06,450.83,3.202069237811958e-05
25.33,73.21,1002.19,97.24,433.43,6.537101594281522e-06
25.89,66.49,1013.08,63.16,434.67,2.8069297998659232e-05
21.99,51.19,1009.19,82.58,446.93,1.0488195882949459e-05
27.58,78.05,1010.83,94.98,431.95,9.938742773795482e-06
13.45,45.87,1008.73,87.06,464.88,3.2312632901539892e-06
9.73,40.22,1011.48,87.88,481.42,9.921502255123191e-05
11.8,40.66,1017.13,97.2,464.43,2.9325346940033486e-05
16.25,58.16,1018.34,78.59,458.31,1.5998857028155012e-08
24.65,71.98,1006.46,91.11,431.77,5.491858555877662e-05
7.1,35.77,1015.39,92.1,480.36,1.180082843994626e-05
23.13,71.25,1002.49,94.59,431.91,7.977100086352565e-05
21.98,59.39,1015.25,84.52,446.79,6.678104245624617e-06
14.98,43.99,1022.66,83.34,462.32,2.3671858793582134e-05
28.06,70.04,1009.89,66.07,431.7,1.6027774272703865e-05
19.68,44.34,1019.49,49.5,468.27,6.17184190770099e-05
4.32,35.47,1017.8,88.51,488.03,5.3204681184280465e-05
10.39,40.22,1009.77,83.27,478.58,8.03188999300094e-05
9.53,40.62,1015.57,75.49,469.9,3.7625839330145887e-06
21.04,50.32,1008.41,90.19,446.33,2.9016581588079875e-05
26.21,65.12,1016.06,44.31,444.44,5.471356752983243e-07
22.99,62.96,1019.6,65.05,449.4,2.0877547308765735e-08
5.86,40.62,1017.03,85.06,480.71,1.3878261014204658e-05
25.59,61.5,1009.12,68.0,439.14,5.868637046374022e-06
21.36,58.95,1018.35,78.87,443.93,4.1682266557070204e-05
24.43,67.25,1017.99,74.27,436.5,6.358303230440582e-05
6.93,39.81,1017.25,87.29,484.98,6.570467898052243e-05
18.36,51.43,1010.57,90.17,459.8,9.712860412213472e-06
25.24,66.54,1002.07,81.22,433.86,2.107274880470999e-05
26.56,56.57,1013.73,63.9,442.74,5.3946783820194935e-06
33.15,68.51,1012.9,51.91,428.89,2.1102461342418063e-05
14.33,45.51,1015.42,71.55,468.92,6.712240548196014e-06
12.08,40.75,1015.84,86.9,476.84,3.099184884108467e-05
14.47,42.99,1009.78,91.15,469.0,2.5540240219464345e-05
28.0,74.22,1008.68,66.0,433.94,4.70709453008654e-07
16.21,41.23,995.88,80.0,463.09,0.00012727734178857923
31.14,67.32,1013.93,38.37,436.64,2.5038945352986766e-08
10.73,40.35,1012.27,89.65,477.23,4.3532327810314574e-05
10.31,45.01,1018.42,93.67,473.74,7.737517636395013e-06
27.77,51.43,1006.58,69.01,438.7,2.489822370894517e-05
16.84,45.01,1016.14,75.74,456.85,1.1897630355950282e-05
32.28,75.33,1002.14,62.49,433.42,5.2527842712647596e-05
18.0,52.08,1003.07,100.09,450.85,5.4812381675453226e-06
18.83,58.46,1016.85,87.16,449.63,1.6286360747279982e-05
8.44,41.17,1019.9,70.72,486.15,0.00011030134312845057
12.24,44.92,1023.74,88.21,473.26,6.4434482830143165e-06
14.64,39.58,1011.46,71.9,467.8,3.909968166800761e-06
16.5,39.72,1003.05,65.99,459.06,9.286965905112589e-07
12.89,36.71,1013.36,87.29,475.13,2.6321413475593374e-05
9.12,41.49,1020.58,96.23,475.69,1.9879163482995435e-06
25.12,77.95,1009.26,82.95,433.4,1.195337247767275e-05
20.92,63.86,1020.49,72.98,449.09,6.163382018729919e-06
27.52,66.48,1004.99,52.54,429.67,5.3463345499959066e-05
25.66,70.02,1010.89,68.14,442.2,2.6951001972821187e-06
19.68,51.19,1008.64,94.88,452.04,1.9932030191085624e-06
32.32,76.09,1006.63,62.96,432.53,1.72786346489148e-05
19.58,52.9,1017.46,64.64,458.28,1.004048439377031e-06
25.77,65.48,1018.07,51.47,440.96,1.5521214465340604e-05
10.42,39.96,1025.21,95.69,470.81,2.930220537953898e-05
6.06,41.17,1019.67,84.7,489.62,0.0001389918087345809
5.42,41.38,1020.77,86.02,491.38,0.00017333467801412112
25.89,59.22,1013.4,80.17,445.75,1.3624452540082156e-07
26.47,69.51,1009.51,65.02,433.89,1.3338080286661327e-05
13.25,44.92,1024.11,89.34,469.18,3.2225224353916654e-07
29.7,67.17,1007.31,66.56,438.04,5.0556642902910325e-06
19.27,65.12,1015.63,73.48,449.42,1.670688928375492e-06
16.98,53.16,1013.95,82.8,458.93,3.197046378849834e-07
27.9,63.13,1011.8,70.04,439.76,5.597134257586665e-07
22.76,44.05,1006.95,74.07,450.31,4.942345517653775e-06
28.6,61.86,1011.86,62.13,439.74,4.6075365236618887e-07
30.47,70.02,1009.65,62.03,435.72,1.625960563544554e-06
22.99,61.02,1009.88,81.56,440.85,1.35144513822221e-05
26.27,71.98,1005.72,86.15,427.65,8.27751374646937e-05
25.04,65.48,1017.66,57.08,440.92,1.6749322828018307e-05
12.36,37.73,1021.36,65.45,470.39,5.421099752370642e-06
27.36,58.33,1013.86,56.7,439.14,1.8094566644470688e-05
26.11,73.17,1009.8,65.18,434.94,5.653869494885129e-06
20.23,52.05,1012.15,47.49,457.57,1.064614079494643e-05
22.06,47.43,1009.85,76.85,453.5,9.52588045818177e-08
11.65,41.54,1020.09,67.96,476.4,1.8298155374199773e-05
21.06,67.07,1004.9,84.09,446.44,7.151947213157297e-06
10.94,40.81,1026.03,80.79,476.32,2.418161917032473e-06
22.02,46.93,1014.32,55.92,451.92,8.658088970394014e-06
25.65,69.23,1012.55,62.02,435.25,1.9977387436113958e-05
24.03,58.46,1015.71,70.15,442.03,1.8437055018238026e-05
19.21,53.16,1013.18,81.64,454.01,4.235049855896505e-07
8.96,40.05,1015.91,89.4,467.24,2.541491125117522e-05
22.56,66.48,1003.82,77.46,437.73,1.6522542630722062e-05
9.87,42.74,1024.61,87.74,470.9,1.508680778807574e-05
17.72,50.9,1012.02,85.55,456.4,3.0989676017838973e-07
24.9,67.25,1017.77,66.17,433.71,9.314087234995815e-05
27.2,72.43,1006.75,80.67,430.32,2.4524699957653586e-05
29.82,69.75,1010.09,65.02,442.6,3.5703737836128024e-05
5.73,40.35,1012.24,91.84,490.5,0.00028261239186153493
